Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2020-06-09 00:00:00+05:30,156.74673400417686,163.03241398894423,156.2723380540702,156.94439697265625,39914264,0.0,0.0,,,,,,,,
2020-06-10 00:00:00+05:30,157.69551312452458,160.6209226318691,156.78626829940063,157.37925720214844,27199665,0.0,0.0,,,,,,,,
2020-06-11 00:00:00+05:30,158.13038554737773,159.11870045704885,153.07021803561804,153.58413696289062,19847133,0.0,0.0,,,,,,,,
2020-06-12 00:00:00+05:30,149.39366407594002,154.33523811962942,148.52395428288452,153.30738830566406,22562768,0.0,0.0,,,,,,,,
2020-06-15 00:00:00+05:30,153.30737424161464,153.34690924321524,147.29842799436844,148.010009765625,24462536,0.0,0.0,,,,,,,,
2020-06-16 00:00:00+05:30,150.85639846835764,150.97499143824206,143.8195886883507,146.27061462402344,27636105,0.0,0.0,,,,,,,,
2020-06-17 00:00:00+05:30,145.4799253868781,146.27057715528505,142.87077213825745,143.26609802246094,24027295,0.0,0.0,,,,,,,,
2020-06-18 00:00:00+05:30,143.2661171725212,148.24722639217637,142.8707912354754,147.53564453125,28887489,0.0,0.0,,,,,,,,
2020-06-19 00:00:00+05:30,147.93096068420624,148.60300749410112,145.16367930791242,145.51947021484375,30531449,0.0,0.0,,,,,,,,
2020-06-22 00:00:00+05:30,147.45659258043443,148.2472445513751,144.80790365202654,146.27061462402344,31395991,0.0,0.0,,,,,,,,
2020-06-23 00:00:00+05:30,146.58685447138228,148.2472282535785,146.072935572526,146.94265747070312,26546793,0.0,0.0,,,,,,,,
2020-06-24 00:00:00+05:30,148.1681735731435,153.93993533667268,147.17985861584026,151.68658447265625,54652978,0.0,0.0,,,,,,,,
2020-06-25 00:00:00+05:30,152.0028155522768,160.89764871203292,151.5284196246673,159.79074096679688,75574255,0.0,0.0,,,,,,,,
2020-06-26 00:00:00+05:30,162.87431002248405,165.56252196408866,152.83303215727724,154.33526611328125,71956002,0.0,0.0,,,,,,,,
2020-06-29 00:00:00+05:30,160.10700762498516,160.5023335697382,155.12589830821864,155.95608520507812,91503336,0.0,0.0,,,,,55.151845611053425,,,
